"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5957","T7 - Highlighted border should appear around Clear State when clicked","desktop-chrome","Thu Dec 12 14:05:58 GMT 2024","passed","Thu Dec 12 14:06:04 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5043","R2 - Current version of Uplink should be displayed","desktop-chrome","Thu Dec 12 14:05:01 GMT 2024","passed","Thu Dec 12 14:05:06 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","4983","M7 - User should be able to toggle on and off Control Sounds","desktop-chrome","Thu Dec 12 14:03:25 GMT 2024","passed","Thu Dec 12 14:03:30 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","6302","F14 - If user upload the same file again, file is uploaded but with different filename","mobile-chrome","Thu Dec 12 14:08:00 GMT 2024","passed","Thu Dec 12 14:08:06 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4846","I18 - Error message should appear if user inputs chars that are not allowed or exceeds limit","desktop-chrome","Thu Dec 12 14:00:52 GMT 2024","passed","Thu Dec 12 14:00:57 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","3497","A3 - Pin cannot have more than 8 digits","desktop-chrome","Thu Dec 12 13:51:33 GMT 2024","passed","Thu Dec 12 13:51:36 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5517","I7 - Clicking shortID should copy DID into clipboard","mobile-chrome","Thu Dec 12 14:00:27 GMT 2024","passed","Thu Dec 12 14:00:33 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","2491","A2 - Pin should have at least 4 digits","mobile-chrome","Thu Dec 12 13:51:29 GMT 2024","passed","Thu Dec 12 13:51:32 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5195","I20 - Status should show correctly depending on which status user has set","desktop-chrome","Thu Dec 12 14:01:02 GMT 2024","passed","Thu Dec 12 14:01:07 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5371","K8 - Clicking the moon button should change theme of the app from Dark to Light","desktop-chrome","Thu Dec 12 14:02:07 GMT 2024","passed","Thu Dec 12 14:02:13 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4722","O3 - Action dropdown should display correct keybind actions","mobile-chrome","Thu Dec 12 14:04:42 GMT 2024","skipped","Thu Dec 12 14:04:47 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","17273","C11, C12, C16, C17 and C19 - Chat Sidebar tests","desktop-chrome","Thu Dec 12 13:54:37 GMT 2024","passed","Thu Dec 12 13:54:54 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","6610","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in","mobile-chrome","Thu Dec 12 13:51:44 GMT 2024","passed","Thu Dec 12 13:51:50 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","15759","H15 - User should be removed from friends list after clicking unfriend","desktop-chrome","Thu Dec 12 13:52:51 GMT 2024","passed","Thu Dec 12 13:53:07 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5192","C10 - Textbox should have highlighted border when clicking into Chat Search","mobile-chrome","Thu Dec 12 13:59:55 GMT 2024","passed","Thu Dec 12 14:00:00 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","5510","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere","desktop-chrome","Thu Dec 12 14:04:31 GMT 2024","passed","Thu Dec 12 14:04:36 GMT 2024","Settings Accessibility Tests","15-settings-accessibility.spec.ts","",""
"","4642","O2, 04 - Clicking a key should activate the Recorded Keys - User can save keybind","mobile-chrome","Thu Dec 12 14:04:38 GMT 2024","skipped","Thu Dec 12 14:04:42 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
